target,classification,category,owner,kinds,classification_reasons,related_vstd_contract_count,returns_reference,returns_mutable_reference,has_mutable_output_state,has_closure,has_unsafe,has_raw_pointer
alloc::ffi::CString::from_raw,unsafe_or_representation_sensitive,other,alloc::ffi::CString,inherent_method,unsafe_or_raw_pointer_signature,8,False,False,False,False,True,True
alloc::ffi::CString::from_vec_unchecked,unsafe_or_representation_sensitive,other,alloc::ffi::CString,inherent_method,unsafe_or_raw_pointer_signature,8,False,False,False,False,True,False
alloc::ffi::CString::from_vec_with_nul_unchecked,unsafe_or_representation_sensitive,other,alloc::ffi::CString,inherent_method,unsafe_or_raw_pointer_signature,8,False,False,False,False,True,False
alloc::ffi::CString::into_raw,unsafe_or_representation_sensitive,other,alloc::ffi::CString,inherent_method,unsafe_or_raw_pointer_signature;raw_pointer_result,8,False,False,False,False,False,True
alloc::ffi::CString::new,suitable_now,other,alloc::ffi::CString,inherent_method,,8,False,False,False,False,False,False
alloc::fmt::format,formatting_effect,formatting,alloc::fmt,free_function,formatting_state_not_modeled,0,False,False,False,False,False,False
alloc::rc::Rc::as_ptr,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature;raw_pointer_result,3,False,False,False,False,False,True
alloc::rc::Rc::assume_init,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature;multiple_rust_declarations_share_path,3,False,False,False,False,True,False
alloc::rc::Rc::decrement_strong_count,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature,3,False,False,False,False,True,True
alloc::rc::Rc::downcast,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,False,False,False
alloc::rc::Rc::downgrade,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,False,False,False
alloc::rc::Rc::from_raw,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature,3,False,False,False,False,True,True
alloc::rc::Rc::get_mut,determinism_checker_unsupported,data_structure,alloc::rc::Rc,inherent_method,mutable_reference_return_not_supported,3,True,True,True,False,False,False
alloc::rc::Rc::increment_strong_count,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature,3,False,False,False,False,True,True
alloc::rc::Rc::into_raw,unsafe_or_representation_sensitive,data_structure,alloc::rc::Rc,inherent_method,unsafe_or_raw_pointer_signature;raw_pointer_result,3,False,False,False,False,False,True
alloc::rc::Rc::make_mut,determinism_checker_unsupported,data_structure,alloc::rc::Rc,inherent_method,mutable_reference_return_not_supported,3,True,True,True,False,False,False
alloc::rc::Rc::new_cyclic,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,True,False,False
alloc::rc::Rc::new_uninit,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,False,False,False
alloc::rc::Rc::new_uninit_slice,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,False,False,False
alloc::rc::Rc::new_zeroed,ownership_or_uninitialized_model,data_structure,alloc::rc::Rc,inherent_method,requires_linear_ownership_or_initialization_model,3,False,False,False,False,False,False
